,Run Id,Flow A Leak,Flow A Blocks,Flow A Crosses,Flow B Leak,Flow B Blocks,Flow B Crosses,Flow A Blocks count,Flow A Crosses count,Flow B Blocks count,Flow B Crosses count,A bad channels,A bad channels count,B bad channels,B bad channels count
78,D00974,,,,,,,0,0,0,0,,0,,0
80,D00972,,,,,,,0,0,0,0,,0,,0
81,D00971,,,,,,,0,0,0,0,,0,,0
82,D00970,,,,,,,0,0,0,0,,0,,0
85,D00967,,,,,,,0,0,0,0,,0,,0
86,D00966,,,,,,,0,0,0,0,,0,,0
89,D00963,,,"26, 27, 28",,26,,0,3,1,0,"26, 27, 28",3,26,1
90,D00962,,,,,,,0,0,0,0,,0,,0
91,D00961,,,,True,,,0,0,0,0,,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50
92,D00960,,,,,,,0,0,0,0,,0,,0
93,D00959,,,,,10,,0,0,1,0,,0,10,1
94,D00958,,21,,,,,1,0,0,0,21,1,,0
98,D00954,,,"13, 14, 15",,,,0,3,0,0,"13, 14, 15",3,,0
99,D00953,,,"21, 22, 23",,,,0,3,0,0,"21, 22, 23",3,,0
101,D00951,,,,,,,0,0,0,0,,0,,0
102,D00950,,,,,,,0,0,0,0,,0,,0
103,D00949,,,,,,,0,0,0,0,,0,,0
104,D00948,True,49,,,,,1,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
107,D00945,,,,,,,0,0,0,0,,0,,0
108,D00944,,,,,,,0,0,0,0,,0,,0
115,D00937,,,,,,,0,0,0,0,,0,,0
116,D00936,,,,,,,0,0,0,0,,0,,0
121,D00931,,,,,,,0,0,0,0,,0,,0
122,D00930,,,,,,,0,0,0,0,,0,,0
123,D00929,,,,,,,0,0,0,0,,0,,0
124,D00928,,,,,,,0,0,0,0,,0,,0
127,D00925,,,,,,,0,0,0,0,,0,,0
128,D00924,,,,,,,0,0,0,0,,0,,0
129,D00923,,,,,,,0,0,0,0,,0,,0
130,D00922,,,,,,,0,0,0,0,,0,,0
133,D00919,,9,"10, 8, 9",,7,,1,3,1,0,"9, 8, 10",3,7,1
134,D00918,,"13, 29, 35, 37",,,,,4,0,0,0,"13, 35, 29, 37",4,,0
137,D00915,,,,,,,0,0,0,0,,0,,0
138,D00914,,,,,,,0,0,0,0,,0,,0
143,D00909,,,,,,,0,0,0,0,,0,,0
144,D00908,,,,,,,0,0,0,0,,0,,0
147,D00905,,,,,,,0,0,0,0,,0,,0
148,D00904,,,,,,,0,0,0,0,,0,,0
152,D00900,,,,,,,0,0,0,0,,0,,0
153,D00899,,,,,,,0,0,0,0,,0,,0
155,D00897,,1,,,,,1,0,0,0,1,1,,0
156,D00896,,29,,,,,1,0,0,0,29,1,,0
157,D00895,,"1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 28, 3, 30, 31, 32, 33, 34, 35, 36, 38, 39, 4, 42, 43, 5, 6",,,,,31,0,0,0,"20, 24, 12, 21, 16, 17, 43, 42, 38, 10, 39, 3, 34, 18, 1, 11, 35, 19, 25, 6, 36, 32, 14, 28, 13, 31, 4, 5, 33, 15, 30",31,,0
158,D00894,,38,,,,,1,0,0,0,38,1,,0
159,D00893,,,,,,,0,0,0,0,,0,,0
162,D00890,,,,,,,0,0,0,0,,0,,0
163,D00889,,,,,,,0,0,0,0,,0,,0
170,D00882,,,"6, 7",,,,0,2,0,0,"6, 7",2,,0
171,D00881,,,,,"25, 26, 27, 28, 29, 31, 35","26, 28, 30, 32",0,0,7,4,,0,"32, 28, 26, 31, 29, 27, 35, 25, 30",9
172,D00880,,,"19, 21",,"26, 27, 28",,0,2,3,0,"21, 19",2,"26, 27, 28",3
173,D00879,,,"21, 22, 23, 26, 27, 28",,,,0,6,0,0,"28, 26, 23, 21, 27, 22",6,,0
174,D00878,,,,,,,0,0,0,0,,0,,0
175,D00877,,,,,,,0,0,0,0,,0,,0
184,D00868,,,,,,,0,0,0,0,,0,,0
185,D00867,,,,,,,0,0,0,0,,0,,0
186,D00866,,,,,,,0,0,0,0,,0,,0
187,D00865,,,,,,,0,0,0,0,,0,,0
196,D00856,,,,,,,0,0,0,0,,0,,0
197,D00855,,49,,,,,1,0,0,0,49,1,,0
198,D00854,,,,,19,,0,0,1,0,,0,19,1
199,D00853,,"41, 46","40, 41, 42",,19,,2,3,1,0,"41, 40, 46, 42",4,19,1
202,D00850,,,,,,,0,0,0,0,,0,,0
203,D00849,,,,,,,0,0,0,0,,0,,0
207,D00844,,,,,,,0,0,0,0,,0,,0
208,D00843,,,,,,,0,0,0,0,,0,,0
210,D00841,,,,,,,0,0,0,0,,0,,0
216,D00835,,,,,,,0,0,0,0,,0,,0
217,D00834,,,,,14,,0,0,1,0,,0,14,1
218,D00833,,,,,,,0,0,0,0,,0,,0
219,D00832,,,,,,,0,0,0,0,,0,,0
221,D00830,,,,,,,0,0,0,0,,0,,0
222,D00829,,,,,,,0,0,0,0,,0,,0
223,D00828,,,,,,,0,0,0,0,,0,,0
224,D00827,,,,,"10, 12, 21, 25, 26, 28, 32, 4, 41, 48",,0,0,10,0,,0,"32, 4, 28, 26, 10, 48, 12, 21, 25, 41",10
225,D00826,True,47,,,"11, 30, 32, 33, 36, 39, 44, 8","36, 37, 38",1,0,8,3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,"36, 32, 39, 11, 38, 44, 33, 37, 8, 30",10
226,D00825,,,,,,,0,0,0,0,,0,,0
227,D00824,,,,,,,0,0,0,0,,0,,0
228,D00823,,,27,,,,0,1,0,0,27,1,,0
229,D00822,False,,27,,,,0,1,0,0,27,1,,0
236,D00815,,,,,,"48, 49, 50",0,0,0,3,,0,"49, 48, 50",3
237,D00814,True,"42, 43, 44, 45, 46, 47, 48, 49, 50",,,,,9,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
238,D00813,,,,True,"22, 23, 24, 25, 26",,0,0,5,0,,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50
239,D00812,,,,,,,0,0,0,0,,0,,0
244,D00807,,,,,,,0,0,0,0,,0,,0
245,D00806,,"6, 7, 8, 9",,,18,,4,0,1,0,"9, 6, 8, 7",4,18,1
246,D00805,,,,,,,0,0,0,0,,0,,0
247,D00804,,"34, 36, 38",,,,,3,0,0,0,"36, 38, 34",3,,0
248,D00803,,,,,,,0,0,0,0,,0,,0
249,D00802,,,,,,,0,0,0,0,,0,,0
253,D00798,,,,,,,0,0,0,0,,0,,0
254,D00797,,,,,,,0,0,0,0,,0,,0
255,D00796,,,,,,,0,0,0,0,,0,,0
261,D00790,,,,,,,0,0,0,0,,0,,0
262,D00789,,,,,,,0,0,0,0,,0,,0
279,D00772,,,,,,,0,0,0,0,,0,,0
280,D00771,,,,,,,0,0,0,0,,0,,0
283,D00768,,"37, 5",,,,,2,0,0,0,"5, 37",2,,0
284,D00767,,10,,,,,1,0,0,0,10,1,,0
285,D00766,,5,,,34,,1,0,1,0,5,1,34,1
286,D00765,,"39, 5",,,2,,2,0,1,0,"5, 39",2,2,1
290,D00761,,,,,,,0,0,0,0,,0,,0
303,D00748,,18,"17, 19",,40,,1,2,1,0,"18, 17, 19",3,40,1
304,D00747,,,,,,,0,0,0,0,,0,,0
305,D00746,,"10, 8","11, 9",,,,2,2,0,0,"9, 8, 10, 11",4,,0
308,D00742,,,,,,,0,0,0,0,,0,,0
309,D00741,,9,,,,,1,0,0,0,9,1,,0
310,D00740,,,,,,,0,0,0,0,,0,,0
311,D00739,,,,,,,0,0,0,0,,0,,0
322,D00727,,,,,,,0,0,0,0,,0,,0
323,D00726,,,,,"2, 32, 34, 36, 38, 4, 42, 44, 46, 48, 50, 6, 8",,0,0,13,0,,0,"36, 32, 42, 38, 2, 48, 44, 46, 4, 6, 8, 50, 34",13
327,D00722,True,,7,,,,0,1,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
330,D00719,,30,,,,,1,0,0,0,30,1,,0
331,D00718,,,,,"20, 22, 30, 36, 38",,0,0,5,0,,0,"36, 20, 38, 22, 30",5
332,D00717,,,,,,,0,0,0,0,,0,,0
333,D00716,,48,"47, 49",,,,1,2,0,0,"47, 48, 49",3,,0
334,D00715,,,,,,,0,0,0,0,,0,,0
335,D00714,,,12,,,,0,1,0,0,12,1,,0
339,D00710,,"10, 8","1, 3, 47, 49",,,,2,4,0,0,"47, 49, 1, 3, 10, 8",6,,0
340,D00709,,,"1, 3, 5",,,,0,3,0,0,"5, 3, 1",3,,0
346,D00703,,"14, 18, 2, 24, 25, 29, 3, 30, 33, 34, 37, 38, 39, 4, 41, 42, 43, 46, 47",,,,42,19,0,0,1,"24, 43, 37, 42, 38, 2, 46, 41, 39, 3, 34, 18, 47, 25, 14, 29, 4, 33, 30",19,42,1
347,D00702,,"1, 10, 12, 14, 16, 18, 2, 22, 3, 4, 5, 6, 7, 8, 9",,,,,15,0,0,0,"18, 8, 14, 1, 2, 10, 12, 9, 16, 7, 4, 5, 22, 6, 3",15,,0
350,D00699,True,"44, 46, 48, 50",,True,"1, 15, 17, 7, 9",,4,0,5,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50
351,D00698,True,,,True,,,0,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50
352,D00697,,,,,"17, 2, 4, 46",,0,0,4,0,,0,"2, 46, 17, 4",4
353,D00696,,,,,19,,0,0,1,0,,0,19,1
362,D00683,True,,,True,"10, 12, 14, 21, 39, 6, 8",38,0,0,7,1,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50
366,D00679,True,,,True,,,0,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50
367,D00678,True,,,,,,0,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
370,D00675,,,1,,,,0,1,0,0,1,1,,0
371,D00674,,,1,,,,0,1,0,0,1,1,,0
372,D00673,,,,,,,0,0,0,0,,0,,0
373,D00672,,,,,,,0,0,0,0,,0,,0
374,D00671,,,,,,,0,0,0,0,,0,,0
375,D00670,True,,,,,,0,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
387,D00658,,,,,33,32,0,0,1,1,,0,"32, 33",2
389,D00656,,,,,,,0,0,0,0,,0,,0
391,D00654,,,,,,,0,0,0,0,,0,,0
392,D00653,,,,,,,0,0,0,0,,0,,0
393,D00652,,,,,"18, 4",,0,0,2,0,,0,"18, 4",2
394,D00651,,,,,,,0,0,0,0,,0,,0
395,D00650,,,,,,,0,0,0,0,,0,,0
396,D00649,,,,,,,0,0,0,0,,0,,0
397,D00648,,"21, 22","20, 48, 49",,"10, 37, 43","10, 43",2,3,3,2,"20, 49, 48, 21, 22",5,"43, 10, 37",3
398,D00647,,"21, 37, 46",,,,,3,0,0,0,"21, 46, 37",3,,0
399,D00646,,,"2, 4",,,,0,2,0,0,"2, 4",2,,0
400,D00645,,35,,,,,1,0,0,0,35,1,,0
401,D00644,True,35,"1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 3, 4, 5, 6, 7, 8, 9",,,,1,25,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
403,D00640,,,"10, 11, 13, 37, 39, 42, 6, 8",,,,0,8,0,0,"42, 11, 13, 10, 39, 6, 8, 37",8,,0
404,D00639,,43,,,33,,1,0,1,0,43,1,33,1
405,D00638,,35,,,,,1,0,0,0,35,1,,0
408,D00636,,"35, 4, 42, 46",,,,,4,0,0,0,"46, 35, 42, 4",4,,0
409,D00635,,35,,,,35,1,0,0,1,35,1,35,1
410,D00634,,,,,16,,0,0,1,0,,0,16,1
411,D00633,,,,,16,,0,0,1,0,,0,16,1
412,D00632,,,"1, 2, 3, 4, 5",,"16, 26","3, 4, 5, 6, 7",0,5,2,5,"1, 2, 4, 5, 3",5,"26, 16, 7, 4, 5, 6, 3",7
413,D00631,,,"2, 3",,16,"1, 2, 3, 4, 5",0,2,1,5,"2, 3",2,"1, 2, 16, 4, 5, 3",6
417,D00627,,,,,,,0,0,0,0,,0,,0
419,D00625,,,,,,,0,0,0,0,,0,,0
421,D00623,,,,,"18, 4, 46, 48",,0,0,4,0,,0,"18, 46, 48, 4",4
422,D00622,,"14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 36, 38",,,,,12,0,0,0,"36, 18, 20, 14, 32, 24, 28, 26, 38, 16, 22, 30",12,,0
423,D00621,,22,,,,,1,0,0,0,22,1,,0
428,D00616,,35,,,,"45, 47, 49",1,0,0,3,35,1,"47, 45, 49",3
429,D00615,False,"35, 37","35, 36, 37",,,"45, 46, 47, 48, 49, 50",2,3,0,6,"36, 35, 37",3,"47, 49, 45, 48, 46, 50",6
430,D00612,,,,,,,0,0,0,0,,0,,0
431,D00611,,,,,,,0,0,0,0,,0,,0
432,D00610,,49,49,,,,1,1,0,0,49,1,,0
433,D00609,,,,,,,0,0,0,0,,0,,0
438,D00603,,18,,,,,1,0,0,0,18,1,,0
439,D00602,,18,,,,,1,0,0,0,18,1,,0
444,D00596,,,,,"6, 8",,0,0,2,0,,0,"6, 8",2
450,D00590,,,,,,,0,0,0,0,,0,,0
458,D00582,True,41,,,,,1,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
459,D00581,True,41,,,,,1,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
460,D00580,,,,,,,0,0,0,0,,0,,0
461,D00579,,41,,,,,1,0,0,0,41,1,,0
462,D00578,,,,,,,0,0,0,0,,0,,0
463,D00577,,,,,,,0,0,0,0,,0,,0
468,D00572,,,,,,,0,0,0,0,,0,,0
469,D00571,,,,,"2, 4",,0,0,2,0,,0,"2, 4",2
470,D00570,,,,,,,0,0,0,0,,0,,0
471,D00569,,,,,,,0,0,0,0,,0,,0
472,D00568,,,,,,,0,0,0,0,,0,,0
473,D00567,,28,,,,,1,0,0,0,28,1,,0
474,D00566,,,,,,,0,0,0,0,,0,,0
475,D00565,,41,,,,,1,0,0,0,41,1,,0
480,D00560,,44,,,,,1,0,0,0,44,1,,0
481,D00559,True,,,,,,0,0,0,0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",50,,0
488,D00550,,"10, 16, 2, 4","10, 2",,28,,4,2,1,0,"2, 16, 10, 4",4,28,1
489,D00549,,18,,,28,,1,0,1,0,18,1,28,1
490,D00548,,,,,,,0,0,0,0,,0,,0
